Date,Open,High,Low,Close,Adj Close,Volume
2020-03-25,20446.000000,21892.000000,20279.000000,21100.000000,21100.000000,130872632
2020-03-26,20998.000000,22545.000000,20510.000000,22492.000000,22492.000000,123364604
2020-03-27,22123.000000,22321.000000,21316.000000,21410.000000,21410.000000,98666789
2020-03-29,20926.000000,21244.000000,20778.000000,21213.000000,21213.000000,711107
2020-03-30,21350.000000,22250.000000,21153.000000,22196.000000,22196.000000,82143599
2020-03-31,22204.000000,22386.000000,21470.000000,21502.000000,21502.000000,66006634
2020-04-01,21397.000000,21423.000000,20648.000000,20932.000000,20932.000000,82218631
2020-04-02,21030.000000,21374.000000,20500.000000,21160.000000,21160.000000,97616148
2020-04-03,21044.000000,21331.000000,20740.000000,20928.000000,20928.000000,63241057
2020-04-05,null,null,null,null,null,null
2020-04-06,21647.000000,22663.000000,21620.000000,22555.000000,22555.000000,96739993
2020-04-07,22496.000000,23477.000000,22300.000000,22488.000000,22488.000000,274505
2020-04-08,22498.000000,23426.000000,22337.000000,23417.000000,23417.000000,98632961
2020-04-09,23267.000000,23889.000000,23020.000000,23676.000000,23676.000000,110699818
2020-04-12,23839.000000,23911.000000,23108.000000,23331.000000,23331.000000,816363
2020-04-13,23295.000000,23609.000000,22968.000000,23368.000000,23368.000000,66333180
2020-04-14,23621.000000,23967.000000,23534.000000,23843.000000,23843.000000,75910145
2020-04-15,23757.000000,23809.000000,23103.000000,23211.000000,23211.000000,81277443
2020-04-16,23265.000000,24327.000000,23079.000000,24157.000000,24157.000000,94173258
2020-04-17,24239.000000,24305.000000,23701.000000,24151.000000,24151.000000,105186538
2020-04-19,23944.000000,24028.000000,23917.000000,23970.000000,23970.000000,284615
2020-04-20,24143.000000,24167.000000,23441.000000,23530.000000,23530.000000,87221700
2020-04-21,23273.000000,23433.000000,22814.000000,22999.000000,22999.000000,111731192
2020-04-22,null,null,null,null,null,null
2020-04-23,23315.000000,23772.000000,23233.000000,23282.000000,23282.000000,78882561
2020-04-24,23246.000000,23730.000000,23166.000000,23639.000000,23639.000000,72578932
2020-04-26,23609.000000,23646.000000,23535.000000,23590.000000,23590.000000,371334
2020-04-27,23793.000000,24100.000000,23725.000000,24000.000000,24000.000000,62114155
2020-04-28,23932.000000,24435.000000,23878.000000,24052.000000,24052.000000,77513725
2020-04-29,null,null,null,null,null,null
2020-04-30,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-05-03,23364.000000,23399.000000,23217.000000,23258.000000,23258.000000,582802
2020-05-04,null,null,null,null,null,null
2020-05-05,23745.000000,24053.000000,23655.000000,23820.000000,23820.000000,73589919
2020-05-06,23781.000000,23995.000000,23428.000000,23503.000000,23503.000000,74985086
2020-05-07,23638.000000,23999.000000,23609.000000,23879.000000,23879.000000,71579673
2020-05-08,24133.000000,24327.000000,24010.000000,24302.000000,24302.000000,69566026
2020-05-10,24228.000000,24393.000000,24173.000000,24369.000000,24369.000000,386020
2020-05-11,24444.000000,24466.000000,23973.000000,24076.000000,24076.000000,77443184
2020-05-12,23951.000000,24288.000000,23390.000000,23412.000000,23412.000000,80400586
2020-05-13,23613.000000,23780.000000,22980.000000,23230.000000,23230.000000,116207735
2020-05-14,23177.000000,23608.000000,22719.000000,23588.000000,23588.000000,128045387
2020-05-15,23542.000000,23677.000000,23241.000000,23574.000000,23574.000000,111762427
2020-05-17,23600.000000,23747.000000,23538.000000,23723.000000,23723.000000,476288
2020-05-18,23791.000000,24640.000000,23751.000000,24531.000000,24531.000000,88293360
2020-05-19,24458.000000,24765.000000,24076.000000,24218.000000,24218.000000,99379226
2020-05-20,24315.000000,24583.000000,24221.000000,24489.000000,24489.000000,78171366
2020-05-21,24375.000000,24660.000000,24300.000000,24475.000000,24475.000000,85676566
2020-05-22,24226.000000,24473.000000,24101.000000,24460.000000,24460.000000,91457669
2020-05-24,24530.000000,24550.000000,24511.000000,24547.000000,24547.000000,177775
2020-05-26,24838.000000,25127.000000,24836.000000,24974.000000,24974.000000,135521768
2020-05-27,25170.000000,25609.000000,24956.000000,25605.000000,25605.000000,104663509
2020-05-28,25616.000000,25794.000000,25311.000000,25360.000000,25360.000000,101158334
2020-05-29,25338.000000,25500.000000,24991.000000,25487.000000,25487.000000,97172770
2020-05-31,25189.000000,25214.000000,25188.000000,25203.000000,25203.000000,68270
2020-06-01,25348.000000,25519.000000,25191.000000,25330.000000,25330.000000,88138831
2020-06-02,25355.000000,25808.000000,25340.000000,25791.000000,25791.000000,77470624
2020-06-03,25798.000000,26347.000000,25795.000000,26330.000000,26330.000000,78632364
2020-06-04,26196.000000,26368.000000,26056.000000,26240.000000,26240.000000,91891624
2020-06-05,26396.000000,27325.000000,26384.000000,27060.000000,27060.000000,112796285
2020-06-07,27124.000000,27297.000000,27070.000000,27276.000000,27276.000000,436971
2020-06-08,27133.000000,27575.000000,27031.000000,27533.000000,27533.000000,85758223
2020-06-09,27519.000000,27624.000000,27126.000000,27326.000000,27326.000000,93395446
2020-06-10,27421.000000,27454.000000,26719.000000,26774.000000,26774.000000,90574518
2020-06-11,26628.000000,26653.000000,25060.000000,25380.000000,25380.000000,166069152
2020-06-12,25486.000000,25952.000000,25064.000000,25540.000000,25540.000000,88511342
